S.No,Scheme ID,Scheme Name,District,Block,T/W Vendor,No Of T/W,Drilling Depth,Pin-Point Date,Drilling Status,T/W Drill Start Date,T/W Drill End Date,T/W Logging Status,Logging Date,T/W Assembly Qty. (in nos.),T/W Assembly Size (mm),T/W Lowering Status,T/W Lowering Date,Gravel Requirement (Cum),T/W Gravel Status,Compressor Size Required (PSI),Compressor Hours Required,T/W Compressor Status,Compressor Completion Date,OP Unit Size (Cusec),OP Unit Hours,T/W OP Status,OP Unit Completion Date,Water Sample Status,Water Sample Approval Date,Remark,No of OHT,OHT Capacity (KL),Staging (m),SBC Vendor,SBC Sample Status,SBC Report Status,SBC Value,OHT Design Vendor,Design Approval Status,Drawing Availability Status,OHT Vendor,OHT Excavation Status,OHT PCC Status,OHT Footing Status,OHT Column Casting Status ,OHT Bracing Status,OHT Top Dome Casting Status,OHT Lower Dome Status,OHT Platform Casting Status,ZA Tank Installation Status,OHT Pipe Work Status,OHT Hydrostatic Test,No. of Pumps,Pump Capacity,Pump Head,Pumping Plant (LPM),Rising Main (m),Power Capacity,Power Source,DG Capacity (KVA),Pump House Vendor,Pump House Excavation Status,P/H PCC Base Status,P/H RCC Status,P/H Plastering Status,P/H Flooring Status,Pump Lowering Status,Pump House EM Work Status,Distribution Network Vendor Name,Distribition System Length,D/N Excavation Status,D/N Excavation (m),D/N Pipe Laying Status,D/N Pipe Laying (m),D/N Road Restoration Status,No of FHTC to be Installed,FHTC Installation Count,Boundary Wall Vendor Name,B/W Layout Demarcation Status,B/W Excavation Status,PCC Work Status,B/W Brick Work Status,B/W Column Casting Status,B/W Gate Installation Status
214,20088558,Uchori,Ghazipur,Saidpur,Shashi Kant & Construction,1,300,10/06/2023,Completed,12/06/2023,19/06/2023,Completed,19/06/2023,1,200X150,Completed,24/06/2023,81,Completed,600,60,Not Available,Not Started,1,120,Not Available,Not Started,To be taken,Not Approved,,1,125,16,Vertizontal,Collected,Submitted,12.6,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,43,370,40,7.5,Electricity,0,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,22865,Not Started,,Not Started,,Not Started,698,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
215,20088561,Sarwarpur,Ghazipur,Saidpur,Shashi Kant & Construction,1,300,14/06/2023,Completed,15/06/2023,04/07/2023,Completed,06/07/2023,1,200X150,Completed,15/07/2023,81,Completed,600,60,Not Available,Not Started,0.5,120,Not Available,Not Started,To be taken,Not Approved,,1,100,16,Vertizontal,Collected,Awaited,,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,43,280,40,7.5,Electricity,0,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,22967,Not Started,,Not Started,,Not Started,530,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
216,20088562,Narayanpur Kakarhi,Ghazipur,Saidpur,Shashi Kant & Construction,1,300,10/05/2023,Completed,17/05/2023,26/05/2023,Completed,27/05/2023,1,200X150,Completed,06/06/2023,81,Completed,600,60,Completed,02/07/2023,1,120,WIP,WIP,To be taken,Not Approved,,1,150,12,Vertizontal,Collected,Submitted,11.41,ATLC,Approved,Available,Shashi Kant & Construction,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,10,39,500,40,16,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Shashikant ,13885,WIP,5881,WIP,5881,Not Started,393,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
217,20088563,Bhuwarpur,Ghazipur,Saidpur,,1,300,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,81,Not Available,600,60,Not Available,Not Started,0.5,120,Not Available,Not Started,To be taken,Not Approved,,1,100,16,Vertizontal,Collected,Submitted,11.2,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,43,300,40,7.5,Electricity,0,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,16624,Not Started,,Not Started,,Not Started,543,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
218,20088565,Zabranpur,Ghazipur,Saidpur,Shakti Infra Pvt Ltd,1,300,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,81,Not Available,600,60,Not Available,Not Started,1,120,Not Available,Not Started,To be taken,Not Approved,,1,150,16,Vertizontal,Collected,Awaited,,ATLC,Approved,Available,Shakti Infra Pvt Ltd,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,10,43,540,40,16,Solar,15,Shakti Infra Pvt Ltd,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Shakti Infra Pvt Ltd,17338,Not Started,,Not Started,,Not Started,405,Not Started,Shakti Infra Pvt Ltd  ,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
219,20088574,Sarai Ali Khan,Ghazipur,Saidpur,,1,300,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,81,Not Available,600,60,Not Available,Not Started,0.5,120,Not Available,Not Started,To be taken,Not Approved,,1,50,14,Vertizontal,Collected,Awaited,,ATLC,Not Started,Not Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,5,41,140,40,7.5,Electricity,0,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,8846,Not Started,,Not Started,,Not Started,270,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
220,20088576,Maharoompur,Ghazipur,Saidpur,,1,300,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X150,Not Started,Not Started,85,Not Available,600,60,Not Available,Not Started,3,120,Not Available,Not Started,To be taken,Not Approved,,1,200,12,Vertizontal,Collected,Submitted,13.6,ATLC,Not Started,Not Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,12.5,39,660,40,19.5,Solar,20,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,12180,Not Started,,Not Started,,Not Started,444,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
221,20088577,Barauli Kalan Awal & Bisambharpur Panjum,Ghazipur,Varachavar,Bajrang Bali Group,1,360,08/06/2023,Completed,11/06/2023,17/06/2023,Completed,19/06/2023,1,200X150,Completed,26/06/2023,97,Completed,600,60,Not Available,Not Started,1,100,Not Available,Not Started,To be taken,Not Approved,,1,150,16,Manohar,Collected,Submitted,11,ATLC,Approved,Available,,WIP,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,44,390,40,15,Electricity,0,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,15999,WIP,791,WIP,,Not Started,728,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
222,20088579,Nasirpur Khas,Ghazipur,Saidpur,Shakti Infra Pvt Ltd,1,300,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,81,Not Available,600,60,Not Available,Not Started,1,120,Not Available,Not Started,To be taken,Not Approved,,1,175,16,Vertizontal,Collected,Submitted,13.2,ATLC,Approved,Available,Shakti Infra Pvt Ltd,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,12.5,43,580,40,19.5,Solar,20,Shakti Infra Pvt Ltd,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Shakti Infra Pvt Ltd,16135,Not Started,,Not Started,,Not Started,456,Not Started,Shakti Infra Pvt Ltd  ,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
223,20088583,Daulatpur,Ghazipur,Saidpur,,1,300,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X150,Not Started,Not Started,85,Not Available,600,60,Not Available,Not Started,3,120,Not Available,Not Started,To be taken,Not Approved,,1,200,16,Vertizontal,Collected,Submitted,12.55,ATLC,Design in Process,Not Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,12.5,43,680,40,19.5,Solar,20,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,10288,Not Started,,Not Started,,Not Started,491,Not Started,Shakti Infra Pvt Ltd  ,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
